suite,family,tier,tier_name,model_tier,model_group,model_id,model,runs,full_pass,formal_mean,stepwise_mean,source
media_campaign_launch_desk,Media Campaign,D,Release-stage,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.1656084656084656,0.3271272532523339,raw_current
media_campaign_launch_desk,Media Campaign,D,Release-stage,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.07550915820718374,raw_current
media_campaign_launch_desk,Media Campaign,D,Release-stage,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.02486772486772486,0.103813516987733,raw_current
media_campaign_launch_desk,Media Campaign,D,Release-stage,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,0,0.5185185185185185,0.6114907113309165,raw_current
media_campaign_launch_desk,Media Campaign,D,Release-stage,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,0,0.25925925925925924,0.36993482199344246,raw_current
media_campaign_launch_desk,Media Campaign,D,Release-stage,F,Frontier,gpt54,GPT-5.4,10,0,0.6989417989417989,0.7943398797239938,raw_current
media_campaign_launch_desk,Media Campaign,D,Release-stage,F,Frontier,claude_opus46,Claude Opus 4.6,10,0,0.5439153439153439,0.6311844865556957,raw_current
media_campaign_launch_desk,Media Campaign,D,Release-stage,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,0,0.45396825396825397,0.6076128244139276,raw_current
homefix_hub,Home Services,A,Consumer,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.4337209302325581,0.6539462523910198,raw_current
homefix_hub,Home Services,A,Consumer,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.34069767441860466,0.5287022844726332,raw_current
homefix_hub,Home Services,A,Consumer,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.03953488372093022,0.1775937531460787,raw_current
